label,rx,raw_data
fall,RX2_合,"CSI_DATA,284746,f4:28:53:72:03:56,-45,11,1,7,0,0,1,0,1,0,1,-97,0,13,2,-1456044727,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-22,8,-20,9,-15,8,-12,8,-7,7,-3,7,1,7,6,7,10,6,13,7,16,6,19,7,20,7,21,7,21,7,20,6,19,6,16,5,14,4,11,3,8,1,4,0,0,-2,-3,-4,-6,-7,-9,-9,0,0,-12,-13,-12,-14,-12,-16,-10,-16,-9,-17,-7,-15,-5,-14,-3,-12,-1,-9,0,-6,2,-2,2,1,2,4,2,7,1,9,0,11,-1,12,-2,13,-4,12,-5,11,-6,9,-6,7,-6,5,-6,3,-5,0,-3,-2,0,0,0,0,0,0,0,0,0,0]"""
fall,RX2_合,"CSI_DATA,284747,f4:28:53:72:03:56,-45,11,1,7,0,0,1,0,1,0,1,-97,0,13,2,-1456036136,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,24,-7,21,-5,19,-2,14,0,11,4,7,7,4,10,1,13,-3,16,-5,18,-7,20,-8,21,-10,22,-10,22,-10,21,-9,19,-8,18,-8,14,-7,11,-6,7,-5,4,-4,-1,-3,-5,-3,-9,-3,-12,-3,0,0,-18,-5,-20,-6,-20,-7,-20,-9,-18,-10,-15,-10,-12,-10,-10,-9,-6,-7,-3,-6,0,-3,2,-1,4,3,5,5,5,8,5,10,4,12,3,13,1,13,0,12,-2,11,-3,10,-4,8,-4,5,-4,3,-3,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX2_合,"CSI_DATA,284748,f4:28:53:72:03:56,-44,11,1,7,0,0,1,0,1,0,1,-97,0,13,2,-1456026151,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,25,-4,22,-3,18,-3,15,-4,10,-6,6,-8,3,-9,-2,-11,-6,-13,-8,-15,-11,-16,-14,-18,-15,-20,-15,-20,-16,-20,-15,-20,-14,-18,-13,-17,-10,-14,-8,-11,-7,-8,-5,-4,-4,0,-3,4,-3,7,-3,11,0,0,-5,17,-6,18,-7,19,-9,19,-9,18,-10,16,-10,13,-9,9,-7,6,-6,3,-3,0,-1,-2,2,-4,5,-4,8,-4,11,-4,13,-3,14,-1,14,0,14,2,11,3,9,4,7,5,5,5,2,4,0,3,0,0,0,0,0,0,0,0,0,0]"""
fall,RX2_合,"CSI_DATA,284749,f4:28:53:72:03:56,-44,11,1,7,0,0,1,0,1,0,1,-97,0,13,2,-1456014843,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-25,-9,-23,-8,-19,-8,-15,-8,-10,-8,-6,-9,-1,-10,3,-10,7,-11,10,-11,13,-12,16,-14,18,-14,19,-14,20,-14,18,-13,16,-12,15,-11,13,-9,10,-6,8,-3,6,0,3,3,1,6,-1,10,-2,0,0,15,-3,18,-2,19,-1,19,0,19,1,16,3,14,3,12,4,8,4,5,3,1,2,-2,1,-4,-1,-6,-4,-7,-6,-8,-8,-8,-10,-7,-12,-6,-12,-4,-12,-3,-12,-1,-11,0,-9,1,-7,2,-5,2,-3,0,0,0,0,0,0,0,0,0,0]"""
fall,RX2_合,"CSI_DATA,284750,f4:28:53:72:03:56,-45,11,1,7,0,0,1,0,1,0,1,-97,0,13,2,-1456002984,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-16,22,-15,20,-13,18,-9,15,-6,12,-1,10,2,7,7,5,10,2,14,1,18,-1,21,-2,23,-3,24,-3,24,-3,24,-3,23,-3,22,-3,19,-3,15,-2,11,-3,7,-2,3,-3,-1,-3,-5,-4,-9,-5,0,0,-14,-8,-16,-10,-16,-11,-16,-13,-15,-13,-14,-13,-11,-13,-9,-12,-6,-10,-3,-8,0,-5,1,-2,3,1,4,4,3,8,3,10,2,12,1,13,-1,13,-2,13,-3,12,-5,10,-5,8,-6,6,-5,3,-4,1,0,0,0,0,0,0,0,0,0,0]"""
fall,RX2_合,"CSI_DATA,284751,f4:28:53:72:03:56,-45,11,1,7,0,0,1,0,1,0,1,-97,0,13,2,-1455995891,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-23,6,-21,6,-18,6,-14,5,-11,6,-6,6,-3,6,2,6,5,5,9,6,12,6,14,6,18,6,19,6,19,6,19,6,18,5,16,5,14,4,11,4,9,2,6,1,3,-1,0,-2,-3,-4,-6,-6,0,0,-9,-9,-10,-11,-10,-12,-10,-14,-9,-14,-8,-14,-6,-13,-4,-12,-3,-10,-1,-7,1,-4,2,-2,2,1,2,4,2,6,1,8,0,10,-1,10,-2,10,-3,10,-4,9,-5,8,-5,6,-5,4,-5,3,-4,1,0,0,0,0,0,0,0,0,0,0]"""
fall,RX2_合,"CSI_DATA,284752,f4:28:53:72:03:56,-45,11,1,7,0,0,1,0,1,0,1,-97,0,13,2,-1455985192,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,22,-19,20,-18,16,-16,12,-14,8,-13,4,-11,-1,-8,-5,-6,-9,-3,-13,-1,-18,2,-21,3,-23,5,-25,6,-25,6,-25,6,-23,6,-22,6,-20,5,-16,4,-13,4,-9,2,-4,1,0,0,4,-1,8,-1,0,0,14,-1,18,-1,19,0,21,1,20,1,19,3,16,3,14,4,10,5,7,5,3,4,0,3,-4,2,-7,1,-9,-2,-11,-3,-12,-5,-12,-7,-12,-8,-11,-9,-10,-10,-8,-10,-6,-9,-4,-8,-2,-7,0,-5,0,0,0,0,0,0,0,0,0,0]"""
fall,RX2_合,"CSI_DATA,284753,f4:28:53:72:03:56,-45,11,1,7,0,0,1,0,1,0,1,-97,0,13,2,-1455976168,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-22,-5,-20,-6,-18,-6,-14,-6,-10,-6,-6,-6,-3,-5,1,-4,5,-4,8,-3,11,-2,14,-2,16,-1,18,-1,19,0,19,0,18,0,16,0,14,0,12,0,9,0,6,0,2,-1,-1,-1,-4,-1,-7,0,0,-1,-12,0,-14,0,-15,1,-16,2,-15,2,-14,3,-13,3,-11,4,-9,4,-6,4,-3,3,0,2,2,1,5,0,7,-1,8,-2,9,-3,9,-4,9,-5,9,-6,8,-6,6,-6,5,-6,3,-5,2,-5,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX2_合,"CSI_DATA,284754,f4:28:53:72:03:56,-45,11,1,7,0,0,1,0,1,0,1,-97,0,13,2,-1455964188,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-23,3,-21,4,-18,4,-15,5,-11,5,-7,5,-3,5,2,4,6,2,9,1,13,0,15,-1,17,-2,18,-3,19,-3,18,-4,17,-4,16,-4,14,-4,12,-3,9,-3,6,-1,2,0,-1,1,-4,2,-7,3,0,0,-12,5,-14,5,-15,4,-15,4,-16,3,-15,2,-13,1,-12,0,-10,-2,-7,-3,-4,-4,-2,-5,1,-5,3,-6,5,-6,7,-5,8,-5,9,-4,10,-3,10,-2,9,-1,8,0,7,0,6,1,4,2,2,3,0,0,0,0,0,0,0,0,0,0]"""
fall,RX2_合,"CSI_DATA,284755,f4:28:53:72:03:56,-45,11,1,7,0,0,1,0,1,0,1,-97,0,13,2,-1455954759,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,-23,-8,-21,-8,-17,-8,-14,-7,-9,-6,-4,-5,0,-3,3,-1,6,0,9,2,13,4,16,5,17,6,18,7,19,7,18,8,17,7,15,6,13,5,11,4,8,1,5,0,2,-2,0,-4,-2,-6,-5,0,0,-9,-9,-10,-11,-10,-12,-10,-13,-9,-13,-8,-13,-6,-12,-4,-11,-2,-9,0,-7,1,-5,3,-3,4,0,6,0,7,2,7,4,7,5,7,6,6,7,6,7,4,7,3,7,1,6,0,6,0,4,-1,3,0,0,0,0,0,0,0,0,0,0]"""
