label,rx,raw_data
lie_down,RX1_동,"CSI_DATA,595230,f4:28:53:72:03:56,-56,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1636877534,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,-6,6,-6,4,-6,4,-5,3,-4,3,-3,2,-2,2,-1,3,0,3,0,4,0,4,0,5,0,5,0,4,-1,4,-1,4,-2,4,-3,3,-2,3,-2,2,-2,2,-1,2,-1,2,0,3,0,3,0,0,0,4,0,4,0,5,0,5,0,5,0,5,0,4,0,4,0,4,0,3,1,3,1,2,2,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,2,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
lie_down,RX1_동,"CSI_DATA,595231,f4:28:53:72:03:56,-57,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1636883458,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,-3,-3,-3,-4,-4,-5,-5,-5,-5,-5,-6,-5,-6,-4,-6,-4,-5,-3,-5,-3,-4,-2,-3,-2,-2,-2,-1,-2,-1,-3,-1,-3,-1,-4,-1,-4,-2,-5,-3,-5,-3,-5,-4,-5,-4,-4,-4,-4,-4,-3,0,0,-3,-3,-3,-3,-2,-3,-1,-3,-1,-3,0,-4,0,-5,0,-5,1,-5,1,-5,1,-5,0,-5,1,-5,0,-5,1,-4,1,-3,1,-3,1,-2,1,-1,1,-1,1,-1,2,0,2,-1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0]"""
lie_down,RX1_동,"CSI_DATA,595232,f4:28:53:72:03:56,-57,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1636902037,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-7,1,-7,2,-8,1,-7,0,-5,1,-4,1,-3,1,-2,3,-4,1,0,1,0,0,0,0,0,0,-1,0,-2,2,-5,1,-5,1,-5,1,-4,-1,-3,0,-2,0,-4,0,-1,0,-1,1,-1,1,-1,0,0,2,-3,2,-4,2,-5,2,-5,2,-5,2,-5,1,-4,2,-4,1,-4,2,-2,2,-1,2,-1,2,0,2,0,2,-1,2,-1,3,-1,3,-1,2,0,2,-1,2,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
lie_down,RX1_동,"CSI_DATA,595233,f4:28:53:72:03:56,-56,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1636914271,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,-7,0,-8,0,-7,0,-4,-1,-4,0,-3,0,-2,2,-3,0,-2,1,-1,1,-1,1,-1,1,-2,2,-2,1,-7,0,-6,0,-4,0,-4,0,-4,0,-2,0,-4,0,-2,0,-2,1,-1,1,-1,0,0,3,-2,1,-4,2,-4,3,-4,3,-4,2,-4,2,-4,2,-3,2,-2,2,-2,2,-1,2,-1,2,0,3,0,2,-1,2,0,3,0,3,0,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
lie_down,RX1_동,"CSI_DATA,595234,f4:28:53:72:03:56,-56,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1636920907,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,-6,-3,-7,-4,-6,-4,-4,-1,-4,-1,-3,-2,-2,-1,-1,-4,-1,-1,-1,-2,0,-2,-1,-2,-1,-2,-1,-3,-4,-5,-5,-4,-2,-2,-2,-2,-4,-2,-2,-1,-3,-1,-2,-1,-1,-2,-1,-2,-1,-2,0,0,-1,-4,-2,-4,-3,-4,-2,-5,-2,-5,-2,-4,-2,-5,-1,-4,-1,-4,-1,-4,0,-4,0,-4,0,-4,0,-3,0,-3,0,-4,1,-3,1,-3,0,-2,0,-2,0,-2,0,-2,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
lie_down,RX1_동,"CSI_DATA,595235,f4:28:53:72:03:56,-56,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1636928747,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,5,0,6,0,7,0,8,1,8,2,7,3,7,3,7,3,5,2,4,2,3,1,3,0,2,0,3,0,3,0,3,0,3,0,5,0,5,0,5,0,6,1,6,1,6,1,5,0,0,1,5,1,5,0,5,0,5,0,4,-1,5,-2,5,-2,5,-3,5,-3,5,-3,5,-3,4,-3,3,-3,3,-3,3,-3,2,-3,1,-3,1,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,0,0,0,0,0,0,0,0,0]"""
lie_down,RX1_동,"CSI_DATA,595236,f4:28:53:72:03:56,-56,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1636934539,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,-8,-4,-7,-4,-5,-3,-5,-2,-4,-2,-4,-1,-4,0,-4,0,-4,0,-4,0,-5,0,-5,0,-5,0,-5,0,-5,-1,-5,-1,-4,-1,-4,-1,-3,-1,-2,-1,-2,-1,-2,0,-2,0,-2,0,-2,0,-3,0,0,1,-4,1,-4,0,-5,0,-5,0,-5,0,-5,0,-4,0,-4,0,-4,1,-3,1,-2,1,-2,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
lie_down,RX1_동,"CSI_DATA,595237,f4:28:53:72:03:56,-56,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1636941931,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-1,-4,-1,-5,-2,-6,-3,-7,-3,-6,-4,-6,-4,-6,-4,-5,-4,-5,-3,-3,-3,-3,-2,-3,-1,-3,-1,-3,0,-3,0,-3,0,-4,0,-5,0,-5,-1,-5,-1,-5,-2,-5,-2,-5,-2,-5,-3,-4,0,0,-2,-3,-1,-3,-1,-3,0,-3,0,-3,0,-3,1,-4,1,-5,1,-5,2,-5,2,-5,1,-5,1,-4,1,-3,1,-3,1,-3,1,-2,1,-1,1,-1,1,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0]"""
lie_down,RX1_동,"CSI_DATA,595238,f4:28:53:72:03:56,-57,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1636951116,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,5,2,5,2,4,3,4,5,6,3,3,6,4,1,1,1,1,0,1,0,0,0,0,0,0,1,3,0,3,1,3,1,3,1,3,1,4,5,3,1,3,1,2,1,1,1,1,0,0,1,1,3,1,2,1,1,2,0,3,0,3,0,3,0,4,1,4,0,5,0,4,0,3,0,3,0,3,0,3,0,3,0,2,0,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0]"""
lie_down,RX1_동,"CSI_DATA,595239,f4:28:53:72:03:56,-56,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1636963465,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,-1,8,-1,7,-2,6,-2,5,-1,4,-1,3,0,2,0,2,1,2,1,3,2,4,2,4,1,4,1,4,1,4,0,4,0,4,0,4,0,3,-1,3,-1,2,0,2,0,2,0,2,0,2,1,0,0,3,1,4,1,4,1,4,2,4,2,4,2,4,2,4,2,2,2,2,2,2,2,1,2,1,2,1,3,0,3,0,3,0,3,0,2,0,2,0,2,0,1,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0]"""
