감지 시각,안전 확인 시각,경과(초),최고 경보 단계,낙상 확률(%)
2026-05-27 17:12:55,17:12:55,0,caution,100.0
2026-05-27 17:12:56,17:12:56,0,caution,100.0
2026-05-27 17:12:57,17:12:57,0,caution,100.0
2026-05-27 17:12:58,17:12:58,0,caution,100.0
2026-05-27 17:12:59,17:12:59,0,caution,100.0
2026-05-27 17:13:00,17:13:00,0,caution,100.0
2026-05-27 17:13:01,17:13:01,0,caution,100.0
2026-05-27 17:13:02,17:13:02,0,caution,100.0
2026-05-27 17:13:03,17:13:03,0,caution,100.0
2026-05-27 17:13:04,17:13:04,0,caution,100.0
2026-05-27 17:13:05,17:13:05,0,caution,100.0
2026-05-27 17:13:06,17:13:06,0,caution,100.0
2026-05-27 17:13:07,17:13:14,6,caution,0.0
2026-05-27 17:13:46,17:14:16,29,caution,100.0
2026-05-27 17:14:55,17:15:28,33,caution,0.0
2026-05-27 17:15:51,17:16:15,24,caution,100.0
2026-05-27 17:16:16,17:16:17,1,caution,100.0
2026-05-27 17:16:17,17:16:17,0,caution,100.0
2026-05-27 17:16:18,17:16:18,0,caution,100.0
2026-05-27 17:16:19,17:16:21,1,caution,100.0
2026-05-27 17:16:52,17:16:56,4,caution,100.0
2026-05-27 17:16:57,17:16:57,0,caution,100.0
2026-05-27 17:16:58,17:16:58,0,caution,98.0
2026-05-27 17:16:59,17:16:59,0,caution,98.5
2026-05-27 17:17:00,17:17:00,0,caution,100.0
2026-05-27 17:17:01,17:17:02,0,caution,100.0
2026-05-27 17:17:02,17:17:03,0,caution,100.0
2026-05-27 17:17:03,17:17:04,0,caution,100.0
2026-05-27 17:17:04,17:17:05,0,caution,100.0
2026-05-27 17:17:05,17:17:05,0,caution,100.0
2026-05-27 17:17:06,17:17:06,0,caution,100.0
2026-05-27 17:17:07,17:17:07,0,caution,100.0
2026-05-27 17:17:08,17:17:09,0,caution,100.0
2026-05-27 17:17:09,17:17:09,0,caution,100.0
2026-05-27 17:17:10,17:17:10,0,caution,100.0
2026-05-27 17:17:11,17:17:11,0,caution,100.0
2026-05-27 17:17:12,17:17:12,0,caution,100.0
2026-05-27 17:17:13,17:17:13,0,caution,100.0
2026-05-27 17:17:14,17:17:14,0,caution,100.0
2026-05-27 17:17:15,17:17:15,0,caution,100.0
2026-05-27 17:17:16,17:17:16,0,caution,100.0
2026-05-27 17:17:17,17:17:17,0,caution,100.0
2026-05-27 17:17:18,17:17:18,0,caution,100.0
2026-05-27 17:17:19,17:17:19,0,caution,100.0
2026-05-27 17:17:20,17:17:20,0,caution,100.0
2026-05-27 17:17:21,17:17:21,0,caution,100.0
2026-05-27 17:17:22,17:17:22,0,caution,100.0
